Index	Label	Frequency
8383	contraption	2
8384	rigged	1
8385	overprotective	1
8386	korean	8
8387	ticking	2
8388	pry	6
8389	cooperative	7
8390	imprisonment	1
8391	insurmountable	1
8392	desperation	1
8393	antenna	3
8394	anticipating	3
8395	handling	5
8396	merely	6
8397	dilemma	4
8398	catches	10
8399	dude	1
8400	wanting	6
8401	down-to-earth	1
8402	circus	5
8403	scooter	1
8404	conditioned	2
8405	spots	1
8406	emigrated	5
8407	undefeated	3
8408	over-analyzing	2
8409	dictates	2
8410	lousy	2
8411	distributed	5
8412	discredited	2
8413	acquire	4
8414	umpire	1
8415	located	15
8416	objective	20
8417	whales	9
8418	toast	6
8419	cuter	5
8420	archaeologist	5
8421	applaud	6
8422	stations	1
8423	tenacious	1
8424	mutual	8
8425	schoolgirl	1
8426	unimpressed	7
8427	candidates	5
8428	bangkok	2
8429	cleanliness	2
8430	godliness	1
8431	fairy	9
8432	tales	9
8433	jolly	4
8434	legally	2
8435	binding	1
8436	word'	1
8437	afterward	1
8438	firing	3
8439	tactless	3
8440	oda	1
8441	extinguish	6
8442	primary	8
8443	nagano	3
8444	dog'	7
8445	ruler	2
8446	argentina	1
8447	thorn	1
8448	motorcycles	2
8449	coaster	2
8450	smacks	1
8451	contemptible	2
8452	owed	5
8453	sedan	1
8454	guessing	10
8455	abreast	1
8456	developments	2
8457	gender	1
8458	king'	5
8459	former	8
8460	whine	2
8461	popularity	5
8462	shift'	2
8463	imitating	5
8464	reflection	5
8465	testified	5
8466	agriculture	9
8467	loco	1
8468	nightlife	2
8469	pine	2
8470	architect'	1
8471	crowning	1
8472	stunning	3
8473	barrel	3
8474	theme	6
8475	touchy	4
8476	hook	21
8477	sinker	4
8478	hedgehogs	2
8479	unsophisticated	2
8480	entitles	2
8481	aircraft	1
8482	essays	3
8483	vary	2
8484	cashier	3
8485	foolproof	1
8486	sealed	7
8487	fund	7
8488	marine	3
8489	fret	4
8490	pressure'	1
8491	loot	3
8492	pains	4
8493	housesitting	2
8494	awaited	1
8495	dialing	1
8496	acknowledge	6
8497	thirties	6
8498	stay-at-home	1
8499	cinderella	2
8500	starving	19
8501	lyricist	1
8502	skis	3
8503	hokkaido	10
8504	link	9
8505	crane	4
8506	objects	4
8507	earthworm	3
8508	wriggled	5
8509	generals	2
8510	ache	7
8511	lets	11
8512	affection	4
8513	wakened	1
8514	petrified	3
8515	undergone	1
8516	edo	2
8517	microsoft	4
8518	operating	4
8519	camels	6
8520	reject	3
8521	arithmetic	4
8522	assassinate	1
8523	calories	4
8524	declare	2
8525	renewed	5
8526	vows	1
8527	reinforcements	2
8528	disgust	2
8529	humiliating	3
8530	repainted	2
8531	peculiar	6
8532	hitchhikers	2
8533	crate	2
8534	upload	7
8535	image	13
8536	obscene	3
8537	precious	17
8538	outfit	9
8539	inquired	3
8540	malnourished	1
8541	fixing	14
8542	impulsive	7
8543	desperately	6
8544	nagasaki	4
8545	reluctantly	4
8546	sharpening	7
8547	ax	5
8548	pardoned	3
8549	pretenses	4
8550	ludicrous	4
8551	rendered	2
8552	doodad	3
8553	hassle	3
8554	backache	1
8555	kyowa	1
8556	merged	2
8557	asahi	1
8558	cat'	3
8559	wrongly	3
8560	aggression	3
8561	differed	1
8562	twentieth	3
8563	co-operation	1
8564	comradeship	1
8565	everyday	4
8566	obligations	1
8567	attributes	3
8568	movie'	3
8569	wrestlers	2
8570	username	2
8571	showered	6
8572	warsaw	1
8573	devote	4
8574	nephews	1
8575	stern	2
8576	depended	1
8577	right-handed	4
8578	x	3
8579	knuckles	2
8580	edition	5
8581	porter	6
8582	claustrophobic	6
8583	jury	14
8584	investing	1
8585	widespread	2
8586	ballet	3
8587	relented	2
8588	awarded	3
8589	furious	12
8590	plead	3
8591	equilateral	1
8592	triangle	5
8593	goodnight	3
8594	centipede	1
8595	tidal	1
8596	haze	2
8597	tidiest	1
8598	obligation	7
8599	brussels	3
8600	sprouts	1
8601	skunk	3
8602	minors	4
8603	crude	7
8604	chatted	5
8605	taboo	1
8606	logic	7
8607	roomy	2
8608	brigade	1
8609	‘	1
8610	ironing	4
8611	handkerchiefs	2
8612	lisp	1
8613	favorites	5
8614	gravy	6
8615	wimped	2
8616	risked	14
8617	mineral	3
8618	solitude	1
8619	isolation	1
8620	polish	2
8621	justin	1
8622	bieber	1
8623	pollen	1
8624	invalid	5
8625	punishing	2
8626	18	4
8627	bookstores	2
8628	growled	4
8629	agenda	9
8630	blameless	1
8631	apricot	3
8632	blossom	3
8633	gadgets	2
8634	immune	4
8635	ball-park	2
8636	puffs	3
8637	shrine	2
8638	hamlet	3
8639	incomes	2
8640	races	3
8641	hoot	2
8642	belts	3
8643	dozing	5
8644	moldy	5
8645	soaked	7
8646	delivers	3
8647	signature	5
8648	keyboards	2
8649	1-800-828-6322	1
8650	brochure	5
8651	supporting	4
8652	partying	3
8653	denominations	1
8654	malice	1
8655	cooler	3
8656	zealand	5
8657	ballerina	1
8658	communicated	4
8659	port	8
8660	hospitable	3
8661	inaccurate	3
8662	lurched	1
8663	standstill	1
8664	throwing	17
8665	imagining	11
8666	self-inflicted	2
8667	evading	1
8668	shops	9
8669	optometrist	1
8670	continually	1
8671	fertile	3
8672	catalogs	1
8673	sneezing	2
8674	gripping	1
8675	sentient	2
8676	unfinished	4
8677	rocker	4
8678	engrossed	2
8679	compiled	2
8680	syntax	2
8681	occasional	1
8682	wars	4
8683	intimidated	7
8684	sunbathing	4
8685	nasty	7
8686	floorboards	2
8687	creak	2
8688	doghouse	9
8689	emotion	2
8690	enlisted	5
8691	worships	4
8692	attempting	4
8693	airports	3
8694	eternity	1
8695	puddles	2
8696	triathlon	3
8697	cloned	2
8698	concentric	1
8699	circles	2
8700	differing	1
8701	diameters	1
8702	sentry	1
8703	flipped	4
8704	playoffs	1
8705	truth'	1
8706	reputation	14
8707	mushroom	3
8708	comedians	1
8709	dignity	3
8710	metals	3
8711	anybody'	7
8712	shine	8
8713	particularily	1
8714	prejudice	3
8715	bad'	1
8716	newlyweds	3
8717	restrictions	1
8718	genes	2
8719	paleontologist	1
8720	humidity	3
8721	notarized	1
8722	hostess	2
8723	gps	4
8724	leather-like	1
8725	muscle	5
8726	unaccounted	1
8727	talkative	12
8728	imitations	2
8729	overestimate	3
8730	psyched	7
8731	frank	9
8732	requests	3
8733	cruelty	5
8734	flattering	3
8735	250	3
8736	backing	2
8737	buttons	4
8738	clogs	2
8739	drain	3
8740	contractor	1
8741	remodel	1
8742	lightbulb	2
8743	caved	2
8744	grenade	2
8745	homes	6
8746	physique	1
8747	evident	7
8748	selling	41
8749	revolve	1
8750	armenian	1
8751	indo-european	1
8752	homey	2
8753	concise	4
8754	competitive	3
8755	sack	7
8756	roped	1
8757	tighten	7
8758	screams	3
8759	notified	5
8760	proportion	3
8761	unite	2
8762	dignified	3
8763	branches	4
8764	oak	3
8765	escalated	1
8766	proudly	1
8767	headquarters	4
8768	administered	1
8769	cuffs	1
8770	frayed	1
8771	lending	8
8772	chubby	10
8773	potassium	1
8774	bowing	1
8775	13th	2
8776	downloaded	6
8777	miraculously	1
8778	overslept	13
8779	orchestra	8
8780	bent	10
8781	anti-war	2
8782	esp	1
8783	threadbare	1
8784	severely	7
8785	suicides	2
8786	adjustment	1
8787	lion'	2
8788	cage	4
8789	comedy	3
8790	rhine	4
8791	boundary	1
8792	stale	1
8793	mere	9
8794	cafeteria	7
8795	vip	1
8796	sinners	1
8797	saints	1
8798	corners	2
8799	clutched	1
8800	tedious	2
8801	imitate	5
8802	hair'	4
8803	scanners	1
8804	hermitage	1
8805	petersburg	1
8806	mauled	2
8807	job-offer	1
8808	stuttering	2
8809	grandma	7
8810	clearings	1
8811	raves	1
8812	presumptuous	3
8813	principle	4
8814	torture	5
8815	seventeen	15
8816	avenue	5
8817	dustballs	2
8818	arrival	8
8819	crook	5
8820	transfer	5
8821	mp3	4
8822	expressions	2
8823	good-for-nothing	1
8824	leaks	7
8825	skim	1
8826	223-1374	1
8827	ornament	2
8828	unison	4
8829	award	1
8830	guard'	1
8831	senile	2
8832	sweating	7
8833	unthinkable	5
8834	chocolate-covered	1
8835	popcorn	8
8836	ribbon	5
8837	ruins	6
8838	hunger	12
8839	fiancée	3
8840	overcoming	1
8841	observe	8
8842	diagram	4
8843	reimburse	1
8844	salon	1
8845	revolution	8
8846	1789	1
8847	vandalism	2
8848	well-being	1
8849	disciplining	1
8850	inconsistent	1
8851	activity	8
8852	brilliant	10
8853	identified	3
8854	connections	5
8855	publishing	1
8856	harajuku	1
8857	torturing	2
8858	unclear	4
8859	blessed	8
8860	congregation	2
8861	slowing	4
8862	school'	6
8863	historical	1
8864	watered	3
8865	wristwatch	1
8866	sculptor	1
8867	sail	6
8868	single-handed	1
8869	underage	2
8870	gaining	8
8871	civic	2
8872	glare	2
8873	terror	3
8874	curse	10
8875	protest	6
8876	apologizing	4
8877	pitch-black	1
8878	fishmonger	1
8879	tuck	4
8880	long-winded	2
8881	sailors	5
8882	tiring	2
8883	123	3
8884	bra	2
8885	eighth	5
8886	cellmates	1
8887	ripe	7
8888	cuff	1
8889	overcame	3
8890	shyness	2
8891	landline	3
8892	regulations	4
8893	mandate	2
8894	streetlight	1
8895	milky	1
8896	virgin	1
8897	jesus'	2
8898	feedback	5
8899	medicated	1
8900	logged	1
8901	cobra	3
8902	weekdays	4
8903	itch	5
8904	disposable	3
8905	sails	3
8906	ceases	3
8907	astonish	1
8908	unarmed	5
8909	restroom	6
8910	self-esteem	3
8911	exercises	3
8912	proves	6
8913	effeminate	1
8914	implied	3
8915	justified	5
8916	rehearsals	1
8917	joystick	4
8918	oxford	5
8919	unpacked	3
8920	newer	2
8921	prairies	1
8922	tarantula	1
8923	indonesian	2
8924	samurai	1
8925	decapitated	3
8926	swoop	1
8927	paused	5
8928	uncomfortably	2
8929	hilltop	2
8930	low-cost	1
8931	prefabricated	1
8932	slice	19
8933	region	8
8934	pooped	3
8935	skating	9
8936	sidney	1
8937	sheldon	1
8938	penguins	3
8939	raft	4
8940	hiccup	2
8941	smug	1
8942	julius	1
8943	caesar	4
8944	emperor	2
8945	cope	8
8946	unaided	1
8947	latitude	2
8948	prioritize	1
8949	sued	7
8950	teeming	1
8951	carries	10
8952	denying	5
8953	inhabitants	5
8954	christmases	4
8955	bassoon	9
8956	asylum	1
8957	migraine	2
8958	testing	6
8959	passive	5
8960	retaliate	2
8961	stilts	2
8962	amazon	4
8963	tributaries	2
8964	ransacked	2
8965	limping	1
8966	whole-grain	1
8967	cereals	1
8968	companion	1
8969	whomever	1
8970	earth'	9
8971	pointing	4
8972	veterans	2
8973	woman'	3
8974	wardrobe	2
8975	temperate	1
8976	manpower	2
8977	poses	1
8978	broadly	1
8979	beggar	7
8980	whispering	7
8981	thermostat	4
8982	defective	4
8983	graveyard	2
8984	cuts	5
8985	clipping	1
8986	vice	3
8987	dramatic	3
8988	promotion	10
8989	hitch	2
8990	miami	1
8991	adams	1
8992	1797	1
8993	wagging	3
8994	scrupulous	3
8995	impressing	1
8996	providing	1
8997	century'	1
8998	heal	6
8999	hardworking	7
9000	belgium	4
9001	zucchini	1
9002	chimpanzees	1
9003	estimated	5
9004	continuously	3
9005	analyst	1
9006	partner	15
9007	specialized	2
9008	punk	2
9009	perseverance	5
9010	determination	6
9011	stains	2
9012	skimmed	3
9013	selfie	13
9014	sticks	7
9015	pleading	1
9016	courtrooms	1
9017	observant	11
9018	compositions	2
9019	lackadaisical	2
9020	explains	4
9021	melts	5
9022	finicky	8
9023	thumbs	2
9024	origami	1
9025	folding	4
9026	claws	3
9027	apnea	1
9028	sheep'	3
9029	disrespect	3
9030	microscope'	1
9031	necessarily	12
9032	evaluate	1
9033	repaid	1
9034	rephrase	3
9035	friendliness	1
9036	simmer	1
9037	saucepan	1
9038	martini	1
9039	spraying	1
9040	principal	5
9041	noodles	6
9042	cartoons	1
9043	reap	4
9044	sow	5
9045	harmless	8
9046	guitars	4
9047	stripes	3
9048	ball-point	1
9049	geography	8
9050	snack	11
9051	werewolves	2
9052	cages	3
9053	grade	9
9054	saturdays	10
9055	sputnik	4
9056	launched	9
9057	1957	4
9058	historian	2
9059	thursdays	2
9060	cork	1
9061	dolphins	5
9062	anonymous	7
9063	unlocking	2
9064	needy	2
9065	surfing	9
9066	influences	2
9067	considerably	4
9068	reveal	5
9069	classified	4
9070	cameras	9
9071	lifter	1
9072	marmalade	2
9073	fingerprints	5
9074	slouching	1
9075	trebled	1
9076	ambiguity	2
9077	months'	2
9078	winters	1
9079	fame	4
9080	curt	1
9081	abuse	6
9082	quarterback	1
9083	questioned	7
9084	shabby	1
9085	caravan	1
9086	recalling	1
9087	opportunistic	6
9088	identity	9
9089	discretion	4
9090	lagoon	3
9091	unnerved	2
9092	trespass	1
9093	sic	1
9094	typing	3
9095	bait	5
9096	breed	3
9097	sixty-six	2
9098	tuned	1
9099	unity	1
9100	exterminator	1
9101	resolute	3
9102	marathon	8
9103	knitting	14
9104	swat	2
9105	applied	16
9106	wider	4
9107	unfortunate	11
9108	hiroshima	3
9109	anyhow	2
9110	conceivable	1
9111	bland	2
9112	comedian	3
9113	preferable	4
9114	guidance	2
9115	discrepancies	2
9116	heroic	3
9117	nostalgic	2
9118	obtain	3
9119	wriggle	1
9120	escaping	11
9121	hikers	3
9122	unpopular	1
9123	actor'	2
9124	pox	5
9125	intuitive	2
9126	samosa	1
9127	burped	1
9128	device	9
9129	poe'	1
9130	fukuoka	2
9131	niigata	1
9132	basho	1
9133	misspelled	5
9134	extreme	7
9135	campfire	4
9136	recognised	1
9137	viewed	1
9138	legendary	1
9139	condors	1
9140	bred	2
9141	zoos	3
9142	yoshida	1
9143	agitated	9
9144	shots	7
9145	consist	3
9146	antique	2
9147	unlike	2
9148	goggles	5
9149	unkind	1
9150	mapped	1
9151	obligating	2
9152	heart-warming	1
9153	corsage	1
9154	gasping	1
9155	face-to-face	3
9156	pigs	11
9157	pinched	5
9158	mitigate	1
9159	effects	11
9160	near-telepathic	1
9161	maxed	5
9162	authorization	1
9163	thicker	3
9164	peck	1
9165	collector	3
9166	sampras	1
9167	poisoned	8
9168	transcript	4
9169	swiss	4
9170	pneumonia	4
9171	hiker	1
9172	suppressing	1
9173	eccentricities	1
9174	kittens	4
9175	miser	1
9176	pressured	5
9177	mushrooms	3
9178	prospect	2
9179	stunt	2
9180	continuous	1
9181	thai	5
9182	steaks	1
9183	separates	3
9184	continent	4
9185	profitable	3
9186	migraines	2
9187	concentrated	5
9188	therapy	3
9189	avocados	2
9190	e	1
9191	sexy	6
9192	exhaled	4
9193	paperwork	7
9194	creatures	6
9195	outrageous	6
9196	puffy	1
9197	fasting	3
9198	scalpel	2
9199	lingered	1
9200	kilt	2
9201	bagpipes	9
9202	undependable	3
9203	heals	4
9204	july	10
9205	buck	5
9206	milked	4
9207	withdrawal	1
9208	giant	1
9209	george	1
9210	1732	1
9211	saddle	3
9212	napping	2
9213	sworn	3
9214	fraternizing	1
9215	movements	2
9216	measuring	2
9217	moaned	2
9218	pretzel	2
9219	self-centered	2
9220	origin	8
9221	poetry	5
9222	contained	5
9223	torpedoed	1
9224	economical	3
9225	walruses	1
9226	manatees	2
9227	roger	2
9228	miller'	1
9229	erick	1
9230	oklahoma	2
9231	chile	1
9232	predicted	12
9233	emphasized	2
9234	fiancé	2
9235	travelers	3
9236	seaside	6
9237	assimilated	1
9238	squid	2
9239	lovable	1
9240	prefectures	1
9241	disoriented	9
9242	ships	9
9243	weeknights	1
9244	hot-wiring	1
9245	contacts	5
9246	teresa	3
9247	nun	2
9248	calcutta	1
9249	single-minded	1
9250	add-on	1
9251	competing	4
9252	wealthier	1
9253	segment	1
9254	resides	1
9255	bossy	5
9256	pastry	1
9257	disastrous	1
9258	hatred	3
9259	dry-cleaning	1
9260	implying	6
9261	cans	3
9262	troubles	10
9263	bilingual	5
9264	guidebooks	1
9265	brick	6
9266	marching	2
9267	half-sister	3
9268	reexamine	2
9269	bargained	6
9270	devoid	2
9271	confrontations	1
9272	priced	4
9273	shuffled	2
9274	intimacy	1
9275	mastering	4
9276	opinionated	3
9277	pools	2
9278	boards	1
9279	distilled	2
9280	tensions	3
9281	python	1
9282	unbothered	1
9283	quote	5
9284	goofed	1
9285	hypocritical	1
9286	windshield	6
9287	cordially	1
9288	scrubbed	5
9289	debit	3
9290	pablo	1
9291	neruda	1
9292	chile'	1
9293	ambassador	4
9294	1971	1
9295	elves	1
9296	pointy	1
9297	floodwaters	1
9298	pump	3
9299	spewed	1
9300	third-story	1
9301	waxed	2
9302	pumped	3
9303	slain	2
9304	splashed	5
9305	tragedy	8
9306	bystander	1
9307	videotaped	1
9308	desired	3
9309	bounced	4
9310	lifeguard	2
9311	instructed	1
9312	nest	2
9313	handcuffs	3
9314	toyota	2
9315	flip-flops	1
9316	pretext	1
9317	dissected	1
9318	internal	4
9319	organs	1
9320	supplied	3
9321	snacking	1
9322	march	6
9323	pitcher	5
9324	throws	1
9325	freed	3
9326	confirmed	12
9327	suspicions	1
9328	spooky	1
9329	seam	1
9330	unraveled	1
9331	delude	1
9332	outrage	3
9333	additional	4
9334	desire	16
9335	leisure	7
9336	urges	2
9337	hammered	7
9338	recovers	2
9339	pleas	1
9340	doorknob	3
9341	alignment	1
9342	howling	4
9343	misplaced	2
9344	weakling	1
9345	fundraiser	2
9346	scheming	2
9347	dial	8
9348	fracking	1
9349	cease	10
9350	breakable	1
9351	manipulative	3
9352	factor	4
9353	lather	1
9354	ferrets	1
9355	playful	2
9356	firefly	1
9357	hounds	3
9358	flushed	8
9359	cleans	2
9360	recession	5
9361	overthinking	1
9362	northern	6
9363	hemisphere	1
9364	billie	1
9365	holliday	1
9366	earthy	1
9367	gravelly	1
9368	iq	1
9369	400	1
9370	ominous	1
9371	rumble	1
9372	tick	1
9373	feverish	3
9374	gang'	1
9375	hideout	1
9376	bumper	3
9377	impact	2
9378	darning	1
9379	hakodate	2
9380	robot	7
9381	hatchet	2
9382	bygones	6
9383	figures	7
9384	yearbook	2
9385	clicked	3
9386	biking	2
9387	lampshade	1
9388	casts	1
9389	glow	2
9390	clunky	1
9391	beam	2
9392	sunlight	9
9393	entertaining	7
9394	lemons	9
9395	lemonade	2
9396	causes	14
9397	inventions	2
9398	subscribed	2
9399	fruits	10
9400	peeves	2
9401	footage	1
9402	beds	8
9403	clamoring	1
9404	negotiators	1
9405	slam	3
9406	abrupt	3
9407	praised	9
9408	shortages	1
9409	abominably	1
9410	conserve	4
9411	unjam	1
9412	wrench	1
9413	heartless	3
9414	iceland	5
9415	alliance	2
9416	leads	11
9417	suicidal	3
9418	v	2
9419	cockroaches	5
9420	improvised	1
9421	forks	8
9422	yeah	8
9423	adjusted	4
9424	dormitories	3
9425	1978	1
9426	overhear	1
9427	banking	1
9428	vendor	1
9429	movement	5
9430	areas	4
9431	ascribed	1
9432	rewrite	5
9433	supported	7
9434	freely	5
9435	fidgety	1
9436	neighbours	4
9437	infirmary	2
9438	disconcerted	1
9439	mozart	5
9440	composers	3
9441	resulting	1
9442	women'	2
9443	base	4
9444	overexert	2
9445	undone	5
9446	ultimately	2
9447	triumph	1
9448	nests	4
9449	hong	5
9450	kong	5
9451	gi	1
9452	staten	1
9453	boroughs	1
9454	individually	1
9455	authorize	1
9456	rung	8
9457	sentiment	3
9458	1876	1
9459	potato	12
9460	chips	7
9461	screwdriver	6
9462	raking	6
9463	hardened	1
9464	fitness	1
9465	maintaining	2
9466	maintained	5
9467	tantrums	1
9468	settlement	1
9469	fussy	8
9470	failing	4
9471	trout	12
9472	regaining	1
9473	manipulates	1
9474	secretive	6
9475	mouthpiece	1
9476	backfired	1
9477	inflation	9
9478	1990s	2
9479	88th	1
9480	oatmeal	5
9481	straighten	3
9482	days'	2
9483	hexagon	1
9484	hack	1
9485	vegetation	1
9486	lush	1
9487	cold-blooded	1
9488	mature	10
9489	caterpillar	1
9490	enterprises	1
9491	squeeze	7
9492	hiccoughing	1
9493	reconfirm	2
9494	servants	3
9495	colored	1
9496	mole	1
9497	temporarily	2
9498	suspended	14
9499	demonstrated	3
9500	wrestling	3
9501	beverage	2
9502	untidy	3
9503	monitor	5
9504	badgering	3
9505	grisly	3
9506	horns	3
9507	scalped	1
9508	patrick'	1
9509	17th	3
9510	allegations	5
9511	31	1
9512	lagging	1
9513	synagogues	1
9514	bulletproof	2
9515	vest	1
9516	chew	4
9517	distinction	1
9518	well-deserved	1
9519	first-class	1
9520	seminar	2
9521	soup'	1
9522	strolled	4
9523	incorporated	1
9524	spellings	2
9525	weeks'	1
9526	divvied	4
9527	soluble	1
9528	mum	1
9529	moisturizing	1
9530	sipping	1
9531	margarita	2
9532	rim	2
9533	anarchist	2
9534	disagreed	7
9535	attract	6
9536	peruvians	1
9537	coca	1
9538	reasonably	2
9539	ample	2
9540	contemporary	4
9541	double-edged	1
9542	manner	5
9543	cumbersome	3
9544	measured	7
9545	product'	1
9546	double-check	1
9547	awareness	3
9548	five-star	2
9549	evacuate	8
9550	complying	1
9551	weekly	2
9552	half-hearted	2
9553	occupied	8
9554	retrospect	2
9555	trash	8
9556	blueberries	1
9557	blackberries	2
9558	cherries	3
9559	peaches	6
9560	nectarines	1
9561	intense	7
9562	poignant	2
9563	pleasures	6
9564	term	7
9565	uninterested	4
9566	unscramble	1
9567	get-go	1
9568	moron	6
9569	mitsubishi	1
9570	lodge	3
9571	formal	7
9572	bores	7
9573	tinge	1
9574	separation	1
9575	burglary	2
9576	blooming	3
9577	23	7
9578	infinite	3
9579	poodles	1
9580	dinnertime	1
9581	mentor	1
9582	stuffy	3
9583	overheating	1
9584	mason	1
9585	secondhand	3
9586	badge	4
9587	cheering	4
9588	struggle	9
9589	collapse	6
9590	grind	2
9591	paints	1
9592	landscapes	1
9593	creature	2
9594	sentimental	1
9595	snatched	1
9596	dictionaries	5
9597	quieter	2
9598	braved	2
9599	goat	6
9600	pane	2
9601	1976	1
9602	velvet	3
9603	enlarged	1
9604	guesstimates	1
9605	spirited	2
9606	bonds	1
9607	frogs'	2
9608	croaking	3
9609	tripod	1
9610	phrase	7
9611	meadow	4
9612	patting	2
9613	single-sex	2
9614	underlie	1
9615	committing	1
9616	mini-skirts	1
9617	tread	2
9618	proposals	3
9619	pros	3
9620	pko	1
9621	misery	4
9622	african	3
9623	affects	13
9624	fir	2
9625	carburetor	1
9626	prevents	3
9627	extraordinary	9
9628	inserted	1
9629	e-cigarettes	1
9630	tobacco	5
9631	authorities	1
9632	long-term	1
9633	users	1
9634	intermission	1
9635	swerve	2
9636	finalized	2
9637	abhor	5
9638	unavoidable	6
9639	herd	2
9640	conferences	2
9641	fierce	6
9642	peas	8
9643	pod	5
9644	instrument	8
9645	offensive	9
9646	carelessly	2
9647	checkout	1
9648	stickler	1
9649	hardback	1
9650	outlived	1
9651	draining	1
9652	despair	3
9653	lasts	3
9654	edgeways	1
9655	breather	5
9656	keyboard	3
9657	colorblind	4
9658	syncopated	1
9659	portuguese	3
9660	endeavors	4
9661	classic	2
9662	casual	1
9663	cardboard	5
9664	perplexed	6
9665	mischief	1
9666	assumption	3
9667	cheesecake	2
9668	preparedness	1
9669	butcher	5
9670	gratuities	1
9671	spooked	1
9672	website'	2
9673	layout	3
9674	introducing	3
9675	ecosystems	2
9676	lubrication	1
9677	poorly	7
9678	fishermen	2
9679	fragile	3
9680	fists	3
9681	casinos	2
9682	rollers	1
9683	kings	2
9684	bathtubs	1
9685	vaccination	1
9686	mark	7
9687	shellfish	2
9688	blanks	4
9689	drugstore	4
9690	half-dozen	1
9691	heartbreaking	2
9692	ballpoint	2
9693	chafed	1
9694	behalf	7
9695	defused	5
9696	non-members	1
9697	ethiopian	2
9698	blasé	1
9699	hurrying	2
9700	undoubtedly	1
9701	staunch	2
9702	weather'	4
9703	preventing	2
9704	figuring	3
9705	bricks	3
9706	zeros	2
9707	2010	2
9708	fluke	5
9709	jacksons	6
9710	freshen	2
9711	unsolved	5
9712	elementary	3
9713	verge	10
9714	belongings	5
9715	humble	7
9716	seagulls	1
9717	tuberculosis	2
9718	contradicts	1
9719	cured	12
9720	reaction	8
9721	idealist	2
9722	yokohama	6
9723	monopolies	2
9724	donuts	1
9725	digestion	1
9726	approaches	1
9727	lakes	2
9728	havoc	1
9729	caribbean	1
9730	resigning	7
9731	sailboat	2
9732	airlines	2
9733	124	1
9734	inconsiderate	6
9735	probability	5
9736	mammal	7
9737	wrongs	2
9738	valve	1
9739	skull	2
9740	riverbank	2
9741	swallowing	3
9742	consulting	6
9743	asparagus	1
9744	hatch	3
9745	chapped	3
9746	slanted	1
9747	beck	1
9748	crocheted	1
9749	guidebook	2
9750	gasped	3
9751	pac-man	1
9752	weaknesses	4
9753	1967	1
9754	grenada	1
9755	shepherd	3
9756	red-handed	3
9757	one-track	1
9758	pliers	5
9759	amateur	4
9760	accumulated	3
9761	fingernails	8
9762	unwrapped	4
9763	sandwiches	16
9764	winked	1
9765	exquisite	1
9766	los	3
9767	angeles	3
9768	pension	3
9769	optional	1
9770	oddly	4
9771	panting	11
9772	addressing	3
9773	pullover	1
9774	tuxedo	3
9775	uncontrollably	2
9776	senior	7
9777	guarding	3
9778	anticipates	1
9779	uncanny	1
9780	resemblance	3
9781	marilyn	2
9782	monroe	2
9783	famine	1
9784	bellows	2
9785	likable	1
9786	relevant	8
9787	contracted	1
9788	drafting	2
9789	ethic	1
9790	zucchinis	1
9791	chiseling	1
9792	marble	1
9793	anchovies	3
9794	metaphor	3
9795	pigeon-toed	1
9796	peanut	1
9797	glimpse	5
9798	belly	4
9799	lover	6
9800	attending	5
9801	mettle	1
9802	boost	1
9803	despondent	2
9804	tenth	4
9805	misconduct	1
9806	abraham	2
9807	kentucky	2
9808	valor	2
9809	ancestors	5
9810	massive	2
9811	jaws	1
9812	completion	2
9813	zurich	1
9814	hub	2
9815	toupee	1
9816	devastating	2
9817	bodybuilding	3
9818	mugged	4
9819	jack	2
9820	staircase	1
9821	disorganized	5
9822	subtlety	2
9823	equations	1
9824	negotiable	3
9825	predicament	3
9826	blast	11
9827	involves	1
9828	petting	1
9829	preserving	2
9830	goosebumps	1
9831	dyes	3
9832	ambidextrous	5
9833	inspect	3
9834	five-hour	2
9835	gambled	1
9836	elizabeth	1
9837	1603	1
9838	illiterate	6
9839	courts	4
9840	painters	1
9841	warranty	3
9842	mesmerized	5
9843	pulsating	1
9844	embers	1
9845	encyclopaedia	1
9846	unzipped	4
9847	peak	2
9848	evidently	1
9849	hides	1
9850	layoffs	4
9851	blurted	1
9852	1914	2
9853	overwhelming	4
9854	hinges	3
9855	constitutional	2
9856	loosened	1
9857	lasagna	1
9858	housewives	2
9859	portable	1
9860	leftover	4
9861	exposed	6
9862	monster	9
9863	eliminated	3
9864	leaf	5
9865	sloppy	5
9866	puppets	1
9867	sticking	4
9868	aiding	2
9869	sawing	2
9870	bothered	17
9871	reputed	1
9872	paranoid	9
9873	siberia	2
9874	perfume	4
9875	redhead	1
9876	statement	10
9877	deceitful	1
9878	tease	2
9879	hearty	1
9880	amputated	5
9881	drapes	3
9882	tissue	8
9883	terrifies	1
9884	dorm	8
9885	unloading	1
9886	mastered	2
9887	overnight	3
9888	bamboo	2
9889	cliche	1
9890	hairy	1
9891	pointers	2
9892	leaking	1
9893	gambling'	1
9894	attacks	1
9895	floppy	1
9896	cucumbers	6
9897	broccoli	4
9898	non-starchy	1
9899	foolishness	2
9900	ottawa	1
9901	girls'	5
9902	thick-headed	1
9903	diesel	3
9904	via	2
9905	spies	3
9906	1990	4
9907	westerns	1
9908	bombed	4
9909	peed	1
9910	assemble	2
9911	contribution	3
9912	drummer	5
9913	incomparable	1
9914	anyways	2
9915	exists	4
9916	telegram	3
9917	digest	6
9918	invaluable	2
9919	homemade	2
9920	lackey	4
9921	argued	15
